s_P_0,determinant0,s_P_1,determinant1
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
4.517267526879702e-14,0.5001000073638774,4.1283490204330537e-13,0.5001000073638774
6.201227915382262e-14,0.500200053012303,5.225683008539043e-13,0.500200053012303
3.923468671383754e-14,0.5003000934208394,3.60630927480417e-13,0.5003000934208394
1.1329718326523556e-16,0.5004001658718418,1.822334028898129e-15,0.5004001658718418
7.67590383390905e-14,0.5005002330881785,7.446050175822276e-13,0.5005002330881785
3.2888544187537613e-16,0.5006003696767464,5.1626074480461794e-15,0.5006003696767464
4.5379250116467715e-14,0.5007005010538178,4.339613323377622e-13,0.5007005010538178
7.621102794367705e-14,0.5008006272130542,7.279690635034426e-13,0.5008006272130542
3.323640192961789e-14,0.5009008228151872,2.7555583658165065e-13,0.5009008228151872
3.564353469357112e-14,0.5010010132227075,2.962766043875389e-13,0.5010010132227075
8.732360194113947e-14,0.5011011984292787,8.304586563759877e-13,0.5011011984292787
3.258148315466721e-14,0.5012014531495407,3.1543092059035845e-13,0.5012014531495407
7.42359731180089e-16,0.5013017026921288,4.049055881897636e-15,0.5013017026921288
6.16525308318156e-14,0.5014019470507076,5.099025794031936e-13,0.5014019470507076
3.6482936509276634e-15,0.5015022609939023,2.8619866064586725e-14,0.5015022609939023
1.3032164621628326e-14,0.5016025697764165,1.2282019443078606e-13,0.5016025697764165
5.675802416751627e-14,0.5017029107974158,5.492391496836418e-13,0.5017029107974158
6.872683565524208e-14,0.5018032466630871,6.15249429814627e-13,0.5018032466630871
5.5526270954567014e-14,0.5019036147906254,4.883339253799662e-13,0.5019036147906254
2.5188486801229436e-14,0.5020040152007536,2.3471904850030336e-13,0.5020040152007536
3.358312380511582e-16,0.5021044104726303,5.934747333554289e-15,0.5021044104726303
6.03839886696678e-14,0.5022048380505324,5.885561467646041e-13,0.5022048380505324
3.555416326963421e-15,0.5023052979552217,2.6727517140777125e-14,0.5023052979552217
7.208707828677648e-14,0.5024057902074786,6.142996415538146e-13,0.5024057902074786
1.2903882577114649e-14,0.5025062773503686,1.08138150292282e-13,0.5025062773503686
8.208659253388734e-17,0.5026067968643414,6.0907769828975715e-18,0.5026067968643414
2.104171173266158e-17,0.5027073112743854,5.346091654515649e-16,0.5027073112743854
2.543378174446187e-15,0.5028078580790556,2.9648474721823444e-14,0.5028078580790556
2.148317656256906e-14,0.5029084372991934,2.0212827127756174e-13,0.5029084372991934
8.401938175375307e-14,0.5030090489556582,7.979657567878401e-13,0.5030090489556582
1.88613659981862e-15,0.5031096555372437,1.9812119415709228e-14,0.5031096555372437
6.412598035818635e-14,0.5032102945787801,5.474403998633185e-13,0.5032102945787801
4.503408754210062e-15,0.5033109285509328,4.7959473207772096e-14,0.5033109285509328
4.726855938831467e-15,0.5034115950066879,3.0170246160067544e-14,0.5034115950066879
2.3830360344799937e-14,0.5035122939669661,1.920756289297673e-13,0.5035122939669661
3.6013376001495675e-14,0.5036130254527064,3.303820502509216e-13,0.5036130254527064
1.5683184228459988e-14,0.5037137518982796,1.3300973271679727e-13,0.5037137518982796
1.106208067497106e-16,0.5038145108930479,7.138541836517512e-16,0.5038145108930479
2.3823791822544138e-14,0.50391530245799,1.9280313655290252e-13,0.50391530245799
2.6687080578660823e-14,0.5040160890002068,2.460762581400753e-13,0.5040160890002068
2.2962917106932657e-14,0.5041169081363849,1.9710336739665945e-13,0.5041169081363849
2.59463129659576e-16,0.5042177222554203,2.8466154868217334e-16,0.5042177222554203
3.3622712058780276e-14,0.5043186066334757,3.2334213720572735e-13,0.5043186066334757
6.287275006187281e-14,0.5044194860182303,5.990950048513776e-13,0.5044194860182303
4.763874926988453e-14,0.5045203604033696,4.0077033650275825e-13,0.5045203604033696
